PERIOD,INCLINATION,APOGEE,PERIGEE,LAUNCH_YEAR,CURRENT,EXPECTED_LIFETIME_YRS,LAUNCH_MASS_KG,TIME_IN_ORBIT,COUNTRY_GROUPED_CIS,COUNTRY_GROUPED_PRC,COUNTRY_GROUPED_REST,COUNTRY_GROUPED_UK,COUNTRY_GROUPED_US,PURPOSE_COMMUNICATIONS,PURPOSE_EARTH_OBSERVATION,PURPOSE_OTHER,PURPOSE_TECHNOLOGY_DEVELOPMENT,RCS_SIZE_ENC,CLASS_OF_ORBIT_ENC
0.0006966265488824314,0.5376966007102992,0.001194079586792924,0.0014865092275761485,0.8260869565217348,0.0,0.15384615384615385,0.036656891495601175,0.16347705787410655,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.00494308412877216,0.9881278538812786,0.008997250840021105,0.009367812868121389,0.7391304347826093,1.0,0.13846153846153847,0.01759530791788856,0.27000230574129586,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0
0.006143653287484438,0.5381024860476914,0.011163255671878038,0.011611600381443878,0.8695652173912976,1.0,0.15384615384615385,0.036656891495601175,0.16578279916993316,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.9995923993596963,0.00040588533739218665,0.9903362861347922,0.9993829584338364,0.3478260869565162,1.0,1.0,0.5047246660149887,0.6652063638459765,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6666666666666666
0.0072701132388687945,0.996144089294774,0.01399572352892172,0.012817636169854716,0.3913043478260789,1.0,1.0,0.0016291951775822744,0.6177080931519484,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0
0.016741269935376765,0.891527143581938,0.029907528255255337,0.030487462837269316,0.8695652173912976,1.0,0.23076923076923078,0.023786249592701206,0.17454461609407426,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.006143653287484438,0.5381024860476914,0.011163255671878038,0.011611600381443878,0.9130434782608603,1.0,0.15384615384615385,0.04203323558162268,0.12289601106755824,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0008818995672022212,0.9882293252156265,0.0016661575629668707,0.001682840634991866,0.9130434782608603,0.0,0.0,0.001140436624307592,0.09107678118515103,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0
0.0045651271713997715,0.539523084728564,0.008441864985698815,0.008554439894541988,0.956521739130423,1.0,0.15384615384615385,0.04203323558162268,0.09384367074014296,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.016355902057271596,0.8917300862506342,0.02926883452278471,0.029814326583272564,1.0,1.0,0.23076923076923078,0.023786249592701206,0.042656213972792255,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.00034831327444120874,0.5396245560629122,0.000583155147038405,0.0007853256296628712,0.956521739130423,0.0,0.15384615384615385,0.04203323558162268,0.04046575974175697,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0006076955000889339,0.9878234398782344,0.0011385410013606953,0.0012060357884108378,1.0,0.0,0.07692307692307693,0.0006516780710329097,0.027207747290753974,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0
0.00017786209758700877,0.5373921867072551,0.00024992363444503035,0.0005048521904975596,0.8695652173912976,0.0,0.15384615384615385,0.036656891495601175,0.09234493889785567,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.006032489476492556,0.5398274987316082,0.010968870622865235,0.011387221630111629,0.956521739130423,1.0,0.15384615384615385,0.04203323558162268,0.08738759511182848,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.004624414537262117,0.9879249112125823,0.008747327205576074,0.008470297862792395,1.0,1.0,0.07692307692307693,0.012707722385141739,0.052109753285681355,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0
0.006617952214383119,0.9949264332825974,0.01246841242953542,0.012032310540191845,0.7826086956521721,1.0,0.3846153846153847,0.19517758227435647,0.2410652524786719,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.002423371079622927,0.5380010147133434,0.004581933298158897,0.004543669714478039,0.9130434782608603,0.0,0.15384615384615385,0.04203323558162268,0.07931750057643533,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.006032489476492556,0.5398274987316082,0.010968870622865235,0.011359174286195099,0.956521739130423,1.0,0.15384615384615385,0.04203323558162268,0.08807931750057646,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.006328926305804228,0.4361237950279046,0.011524256477187526,0.01192012116452572,1.0,1.0,0.15384615384615385,0.0469208211143695,0.04945815079548075,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.005321041086144548,0.6558092338914256,0.011829718697064787,0.007909350984461772,0.5217391304347814,1.0,0.09230769230769231,0.00018735744542196155,0.4860502651602491,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.007166360348609707,0.9912734652460679,0.013107106162006055,0.013378583048185339,0.6521739130434696,1.0,0.6153846153846154,0.07249918540241121,0.3673045884251787,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
